pdate,video_id,channelId,title,channelTitle,candidate
2017-01-26,dSBxjmbBzkw,UCTHCOPwqNfZ0uiKOvFyhGwg,"반기문 ""어느 정당도 안 들어가…중간지대서 독자적으로 할 것"" / 연합뉴스TV (Yonhapnews TV)",연합뉴스 TV,반기문
2017-01-16,iy7INbNbPeI,UChlgI3UHCOnwUGzWzbJ3H5w,"'턱받이 논란' 반기문, 가는 곳마다 '이슈메이커' / YTN (Yes! Top News)",YTN NEWS,반기문
2016-12-24,EDKltoEWmoU,UCH9Q_K1Hm0gPWqcVGIQmlSw,노무현 대통령에게 치명상을 입힌 박연차.이번엔 반기문에게 23만달러 제공? 그리고 최순실 박근혜특검상황,친절한정치씨,반기문
2017-01-20,hPZBZFTOtl4,UCVPYfo_b-fjfyy_9fH-mraA,계속되는 구설수에 대한 반기문의 입장은   #속도 타고 삼겹살도 타고,정치를 사랑하는 사람들,반기문
2017-01-25,-SwRnNcv9-w,UChlgI3UHCOnwUGzWzbJ3H5w,"반기문 ""대선 전 개헌해야 정치교체""...유승민, 오늘 출마 선언 / YTN (Yes! Top News)",YTN NEWS,반기문
2017-01-18,1OJ8ElqP-kw,UCKoF0wT5NgRNFzuO1Yqb1Aw,[들통난 반기문의 속마음] 기자들과의 치맥파티!!! '비취재'를 전제로 한 오프 더 레코드 간담회!!! 그 와중에 개누리당 꼴통 '박순자' ㅋㅋㅋ,짱민수,반기문
2017-01-17,YJcoH5GSPlU,UCE8ISmBO_zRiTFLTjMAIfKw,2017년 01월 17일 반기문 퇴주잔,이낙규,반기문
2017-01-23,W5Ep1-3jK3o,UCTHCOPwqNfZ0uiKOvFyhGwg,"문재인-안철수, 이틀째 '호남대전'…반기문, 정치행보 본격화 / 연합뉴스TV (Yonhapnews TV)",연합뉴스 TV,반기문
2017-01-18,a0M9ouu3kZA,UCn-4MP_024Y29Ea7PKiVCmg,빵빵터지는 반기문의 서민행보??  -김어준-,시민의 justice,반기문
2016-12-26,9zV7pR1ywZY,UCKoF0wT5NgRNFzuO1Yqb1Aw,"이재명, 요즘 뜨는 '반기문' 맹렬히 비판!!!",짱민수,반기문
2016-12-19,uZLYNmxpATA,UCx2eRsOVWYmM-StX_lu7axQ,기름장어 반기문. 박근혜를 버렸다,Veritas Speak 시사전문,반기문
2016-12-11,NmvdHH6gfgo,UCp88vS-RF72-4UL8gCzn7QA,"대권주자 문재인, 반기문, 이재명에 대한 전 환경부 장관의 평가",Yeoungdeok Kim,반기문
2016-03-14,nx94qZAkQ9U,UCsU-I-vHLiaMfV_ceaYz5rQ,[팩트체크] 반기문 '위안부 성명'은 오해? 살펴보니…,JTBC News,반기문
2016-12-02,6dOGJbjth8w,UCGVgrkZi_5IF2KZS2OrnIWg,UN사무총장 반기문 세계는 왜 그를 무능하다 칭할까?,족제비 정치연예TV,반기문
2017-01-19,slUmxWMoLIE,UCkfTXCGAzWTHLdP3sXEizaA,반기문의 조선대 막말사건! 박근혜 어법만큼 이해가 안간다!,코리아리얼,반기문
2017-01-23,dogMoH1m_2k,UC4Aa3OPkMenwTANpf0oWVRQ,"CBS 김현정의 뉴스쇼-  [뉴스닥] ""(↑) 18세 청소년, 황교안 (↓) 반기문, 인명진"" -이준석, 허성무",CBS newsshow,반기문
2017-01-19,2lPlEcwtmu0,UCH9Q_K1Hm0gPWqcVGIQmlSw,정두언 반기문은 쫑났다.남자 박근혜 반근혜 이명박은 도대체 왜 만나고 다니냐?,친절한정치씨,반기문
2017-01-11,clHAHBbn5HQ,UCuw1hxBo5mDVUhgMzRDk3aw,"[여의도 어벤져스] 반기문 귀국, 막 오른 대선레이스 [박종진라이브쇼] 170111",TVCHOSUN,반기문
2017-01-25,3gByYRUBolI,UCWlV3Lz_55UaX4JsMj-z__Q,"반기문 ""새 똥 맞은 기분"" [더하기 뉴스]",TVCHOSUN 뉴스,반기문
2017-01-13,-aE8EbZ9834,UCkinYTS9IHqOEwR1Sze2JTw,"[주영진의 뉴스브리핑] 전원책 ""반기문, 어제 사실상 대선 출마한 셈"" / SBS",SBS 뉴스,반기문
2017-01-21,Lsp9eM-FD4Q,UCTHCOPwqNfZ0uiKOvFyhGwg,"[뉴스초점] 반기문, 정책 구상 본격화…주요 메시지는? / 연합뉴스TV (Yonhapnews TV)",연합뉴스 TV,반기문
2017-01-25,k1kHDGn3KDs,UChlgI3UHCOnwUGzWzbJ3H5w,설 쇠고 새누리 2차 탈당...반기문? 바른정당? / YTN (Yes! Top News),YTN NEWS,반기문
2017-01-11,aFM7JqlSf34,UCOqCunaF9qVN8bXwsK0HT3g,1월 11일 - 정규재 칼럼; 반기문의 언어,Thejkjtv,반기문
2017-01-19,xLhplBHECQg,UCR0VAgd0w8QI7WWQ0E8Srdw,[황장수의 정치분석] 반기문 총장 문제는 자기자신에 있다. 대선 완주 의지 있는가? (2017.01.19) 5부,o 황장수의 뉴스브리핑,반기문
2017-01-26,aj8meKRoTnQ,UCsU-I-vHLiaMfV_ceaYz5rQ,반기문 떨어지고 황교안 상승…여론조사에 여권 '술렁',JTBC News,반기문
2017-01-01,mZKDT88Ldg8,UCtV-ZnZaXcEamQ094uMv5UA,"반기문! 장관시절! 국정감사에서 뭐라고 했을까??(노무현정부,2006년)",Hahnfeld Keith,반기문
2017-01-18,0gDPmvhQfwU,UCpaU4A_LGDRNyxDLw6yT8Mw,반기문 조선대 초청 토론회에서 또다시 실수?,Valuable contents creator,반기문
2017-01-18,nlorm5-vvWI,UCOTWJkIv5xTATfuwXZqXqkw,"반기문총장토론회,조선대학교토론회,청년과 대한민국의 미래,",선아리랑,반기문
2017-01-25,HPhD03Y0U0U,UChlgI3UHCOnwUGzWzbJ3H5w,"반기문 ""경선 피하지 않겠다""...문재인 ""평창올림픽 총력 지원"" / YTN (Yes! Top News)",YTN NEWS,반기문
2015-03-16,qeF1X-aY5iQ,UChlgI3UHCOnwUGzWzbJ3H5w,반기문의 뼈 있는 충고…아베는 '소귀에 경 읽기' / YTN,YTN NEWS,반기문
2017-01-16,6hSb02B_aCU,UCsU-I-vHLiaMfV_ceaYz5rQ,"반기문-문재인, 엇갈린 대선행보…'자강론' 택한 국민의당",JTBC News,반기문
2017-01-16,GmRFWtmjbUs,UCs18sMwqTCMBmTqX0b2-w6A,반기문의 서민 코스프레,유재일,반기문
2016-12-29,aHaYTsEYfSY,UCwhXO-Z21D6v8IpNQRXOJAg,반기문 부부 신천지 홍보영상 풀버전,H. TV,반기문
2017-01-17,yAOC_TBSa44,UCH9Q_K1Hm0gPWqcVGIQmlSw,슬슬 본색 드러내는 박지원.문재인 반기문 모두 까기.너나 잘하세요,친절한정치씨,반기문
2017-01-26,MDimb_A0wPQ,UCtoHSJzZbWnkzMZI88UK-BQ,더러운 잠 박근혜 정규재TV 인터뷰 최순실 염병 반기문 똥볼 외신에 비친 씹덕 터지는 뒷이야기,Namu,반기문
2017-01-19,hCGWtR0uU7Q,UC2-9K_KZbtZCxC_3M3bcR7w,[영상]반기문 대전현충원 방문 말말말,joongdoilbo,반기문
2017-01-17,-ehG-ZRH_F4,UCuhCJL24EDfAPTX2a_5oKNg,"[백분토론] 김진 위원이 보는 반기문 전 UN사무총장 - 100분토론 2017. 1. 19 / 2017 대선, 민심은?",뭉구,반기문
2017-01-18,zdBtzu_m4MA,UCaSOPoL8wzpicU4M6GWmtQw,반기문  퇴주잔을 자기가 먹고 턱받이도 자기가 해대는 상식파괴 깜짝 놀랐다. 반기문의 비상식적인 행동은 박근혜의 데자뷰를 보는 것 같았다는 이혜훈 의원이 던지는 수류탄,Korea Life,반기문
2016-12-26,nqPcbCT1-pw,UCs18sMwqTCMBmTqX0b2-w6A,반기문 총장 그냥 편히 사시라.... 김병기 의원 발언 이건 거의 협박인데요? ㅋㅋ(출처: 서당캐),유재일,반기문
2017-01-02,TuKibF_WSCE,UCqScsfqmuVr8-cLhF3ShReg,"황교안, VS 반기문, 대선출마,를 한다면 - 월드미래판연구소",음악게임,반기문
2017-01-23,bgLcS_Q10_E,UCx2eRsOVWYmM-StX_lu7axQ,"문재인은 비판에도 유리하고, 반기문은 시간이 지날 수록 갈 곳 없다[김현정의 뉴스쇼]",Veritas Speak 시사전문,반기문
2017-01-16,InILBCOIexY,UCV7ArTlrms3pdjMlEuqL5NQ,"반기문의 턱받이, 메르켈의 장바구니",현인,반기문
2017-01-23,4MpWwxzDhFU,UCG9aFJTZ-lMCHAiO1KJsirg,"반기문 일기장에 적힌 박연차…""불손하고 무식해""",MBN,반기문
2017-01-17,iaTeIum0jgk,UCs18sMwqTCMBmTqX0b2-w6A,반기문 총장님 노무현 대통령 묘소 참배. 거기선 퇴주잔 마시지 마세요.,유재일,반기문
2017-01-25,yrhXr34qkCo,UChlgI3UHCOnwUGzWzbJ3H5w,설 쇠고 새누리 2차 탈당...반기문? 바른정당? / YTN (Yes! Top News),YTN NEWS,반기문
2016-12-27,Zg9P6SyuVpg,UCn3DfoyDnXWlgkfGejkG7vA,김어준의 뉴스공장 - 반기문 Song,Moonsrever,반기문
2017-01-24,7BCjacKpgq8,UCx2eRsOVWYmM-StX_lu7axQ,"반기문 캠프의 문제? 외교 라인과 이명박 라인의 대립. 문제는 반기문이다[하어영 기자, 김어준의 뉴스공장]",Veritas Speak X 단박에 한국사,반기문
2017-01-20,fvAX22XJtWc,UCWlV3Lz_55UaX4JsMj-z__Q,반기문의 도량 [윤정호 앵커칼럼],TVCHOSUN 뉴스,반기문
2017-01-22,UoP0cC7oQN0,UCtoHSJzZbWnkzMZI88UK-BQ,황교안이 판단해보니 어리버리 반기문이 만만해 보인 것이다 씹덕 터지는 뒷이야기,Namu,반기문
