id,viewCount,likeCount,dislikeCount,favoriteCount,commentCount,vid_id
gIi9OvVT-Y8,16854,197,6,0,20,gIi9OvVT-Y8
NRaXZ7Cl44A,18,0,0,0,0,NRaXZ7Cl44A
HE-iC2m1zdU,366,3,0,0,2,HE-iC2m1zdU
BCE0uUIpb0A,880,17,0,0,4,BCE0uUIpb0A
PoSikhGFQ0U,116,0,0,0,0,PoSikhGFQ0U
00wcaxap200,181,2,0,0,1,00wcaxap200
Fo9-Nv0zLGo,164,1,1,0,0,Fo9-Nv0zLGo
lGtb7hqV668,20,0,0,0,0,lGtb7hqV668
gbR44g8vSJk,35,0,0,0,0,gbR44g8vSJk
Xm7nlhwHjbQ,215,1,0,0,0,Xm7nlhwHjbQ
CkvgYY7q0pU,136,0,0,0,0,CkvgYY7q0pU
h6hBoTu_wUU,280,0,1,0,1,h6hBoTu_wUU
8a1ZkkD_big,873,20,2,0,2,8a1ZkkD_big
2keWCz8XGag,9374,163,8,0,94,2keWCz8XGag
0fml5RO5fjk,106,2,0,0,0,0fml5RO5fjk
eaUo6OXPJzk,1113,32,2,0,7,eaUo6OXPJzk
83sy_dO_7dw,85,3,1,0,3,83sy_dO_7dw
83sy_dO_7dw,85,3,1,0,3,83sy_dO_7dw
s-ss96m23Pk,57,0,0,0,1,s-ss96m23Pk
JWXl531PH3Y,129,2,0,0,0,JWXl531PH3Y
v0bBhhu23nM,351,4,0,0,0,v0bBhhu23nM
PpxGfIhr4vM,300,6,0,0,1,PpxGfIhr4vM
9dyC7wH-1pw,283,2,0,0,2,9dyC7wH-1pw
7cpM30cAzWc,46,0,0,0,0,7cpM30cAzWc
OjjU60eq1Vc,645,17,0,0,1,OjjU60eq1Vc
lp6Dm1uws2g,398,3,3,0,2,lp6Dm1uws2g
sLEN2SV5eWY,3,0,0,0,0,sLEN2SV5eWY
GLg2ZmKZgTU,182,0,0,0,1,GLg2ZmKZgTU
FE6fT4SrpZU,154,4,0,0,0,FE6fT4SrpZU
yBc-Z8CCmMg,352,2,0,0,0,yBc-Z8CCmMg
NaFUj9ADTLk,3,0,0,0,0,NaFUj9ADTLk
A60OCcyq5dk,23,0,0,0,0,A60OCcyq5dk
BxNDnPF7zz0,167,4,0,0,1,BxNDnPF7zz0
7k_IxwjIF8k,63,1,0,0,0,7k_IxwjIF8k
fDQvy3JJgBk,100,0,0,0,0,fDQvy3JJgBk
JeXwAEdQU7c,47,0,0,0,0,JeXwAEdQU7c
ahSKAj8Z_nI,106,0,0,0,0,ahSKAj8Z_nI
bxdoZsEBk-o,85,0,0,0,0,bxdoZsEBk-o
KP6A5BNI0Yk,358,9,1,0,1,KP6A5BNI0Yk
wqgzJFtA6w4,4241,7,2,0,2,wqgzJFtA6w4
bMmFN3IJCBU,226,2,0,0,0,bMmFN3IJCBU
CWHVXaJfhac,4,0,0,0,0,CWHVXaJfhac
Tv432BPEYVw,124,0,0,0,3,Tv432BPEYVw
uPRwjaw4NOg,46,2,0,0,1,uPRwjaw4NOg
e7_sKcL4Dvk,145,0,0,0,0,e7_sKcL4Dvk
70kmXKvR27o,72,0,0,0,0,70kmXKvR27o
6XL1V0anrZg,104,0,0,0,0,6XL1V0anrZg
JZKns1dxzDQ,435,6,0,0,0,JZKns1dxzDQ
FM0stpHXkyU,51,1,0,0,1,FM0stpHXkyU
Hxks2eMG1eY,259,0,2,0,4,Hxks2eMG1eY
J-xnuyv8wYk,51,0,0,0,0,J-xnuyv8wYk
3O16vXMPqow,4,0,0,0,0,3O16vXMPqow
JbyGs-wihUo,6,0,0,0,0,JbyGs-wihUo
VoGmioj6j5k,38,2,0,0,0,VoGmioj6j5k
isZLb2rE2tU,21,0,0,0,0,isZLb2rE2tU
NQz7lRHVjzU,1235,11,4,0,2,NQz7lRHVjzU
MTpN4rB_J7U,4,0,0,0,0,MTpN4rB_J7U
D98W7cGrK3k,33,0,0,0,0,D98W7cGrK3k
c4qr8V9G72g,4,0,0,0,0,c4qr8V9G72g
