"COUNTRY","Country","EMPSTAT","Employment status","FREQUENCY","Frequency","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"FIN","Finland","DE","Dependent employment","A","Annual","2001","2001","HOUR","Hours","0","Units",,,1616,,
"FIN","Finland","DE","Dependent employment","A","Annual","2002","2002","HOUR","Hours","0","Units",,,1609,,
"FIN","Finland","DE","Dependent employment","A","Annual","2003","2003","HOUR","Hours","0","Units",,,1596,,
"FIN","Finland","DE","Dependent employment","A","Annual","2004","2004","HOUR","Hours","0","Units",,,1622,,
"FIN","Finland","DE","Dependent employment","A","Annual","2005","2005","HOUR","Hours","0","Units",,,1605,,
"FIN","Finland","DE","Dependent employment","A","Annual","2006","2006","HOUR","Hours","0","Units",,,1600,,
"FIN","Finland","DE","Dependent employment","A","Annual","2007","2007","HOUR","Hours","0","Units",,,1594,,
"FIN","Finland","DE","Dependent employment","A","Annual","2008","2008","HOUR","Hours","0","Units",,,1610,,
"FIN","Finland","DE","Dependent employment","A","Annual","2009","2009","HOUR","Hours","0","Units",,,1555,,
"FIN","Finland","DE","Dependent employment","A","Annual","2010","2010","HOUR","Hours","0","Units",,,1584,,
"FIN","Finland","DE","Dependent employment","A","Annual","2011","2011","HOUR","Hours","0","Units",,,1578,,
"FIN","Finland","DE","Dependent employment","A","Annual","2012","2012","HOUR","Hours","0","Units",,,1575,,
"FIN","Finland","DE","Dependent employment","A","Annual","2013","2013","HOUR","Hours","0","Units",,,1568,,
"FIN","Finland","DE","Dependent employment","A","Annual","2014","2014","HOUR","Hours","0","Units",,,1572,,
"FIN","Finland","DE","Dependent employment","A","Annual","2015","2015","HOUR","Hours","0","Units",,,1574,,
"FIN","Finland","TE","Total employment","A","Annual","2000","2000","HOUR","Hours","0","Units",,,1742,,
"FIN","Finland","TE","Total employment","A","Annual","2001","2001","HOUR","Hours","0","Units",,,1723,,
"FIN","Finland","TE","Total employment","A","Annual","2002","2002","HOUR","Hours","0","Units",,,1714,,
"FIN","Finland","TE","Total employment","A","Annual","2003","2003","HOUR","Hours","0","Units",,,1705,,
"FIN","Finland","TE","Total employment","A","Annual","2004","2004","HOUR","Hours","0","Units",,,1707,,
"FIN","Finland","TE","Total employment","A","Annual","2005","2005","HOUR","Hours","0","Units",,,1697,,
"FIN","Finland","TE","Total employment","A","Annual","2006","2006","HOUR","Hours","0","Units",,,1693,,
"FIN","Finland","TE","Total employment","A","Annual","2007","2007","HOUR","Hours","0","Units",,,1691,,
"FIN","Finland","TE","Total employment","A","Annual","2008","2008","HOUR","Hours","0","Units",,,1685,,
"FIN","Finland","TE","Total employment","A","Annual","2009","2009","HOUR","Hours","0","Units",,,1661,,
"FIN","Finland","TE","Total employment","A","Annual","2010","2010","HOUR","Hours","0","Units",,,1668,,
"FIN","Finland","TE","Total employment","A","Annual","2011","2011","HOUR","Hours","0","Units",,,1662,,
"FIN","Finland","TE","Total employment","A","Annual","2012","2012","HOUR","Hours","0","Units",,,1650,,
"FIN","Finland","TE","Total employment","A","Annual","2013","2013","HOUR","Hours","0","Units",,,1640,,
"FIN","Finland","TE","Total employment","A","Annual","2014","2014","HOUR","Hours","0","Units",,,1643,,
"FIN","Finland","TE","Total employment","A","Annual","2015","2015","HOUR","Hours","0","Units",,,1646,,
"FRA","France","DE","Dependent employment","A","Annual","2000","2000","HOUR","Hours","0","Units",,,1428.34997558594,,
"FRA","France","DE","Dependent employment","A","Annual","2001","2001","HOUR","Hours","0","Units",,,1423.14001464844,,
"FRA","France","DE","Dependent employment","A","Annual","2002","2002","HOUR","Hours","0","Units",,,1389.46997070312,,
"FRA","France","DE","Dependent employment","A","Annual","2003","2003","HOUR","Hours","0","Units",,,1387.51000976562,,
"FRA","France","DE","Dependent employment","A","Annual","2004","2004","HOUR","Hours","0","Units",,,1415.13000488281,,
"FRA","France","DE","Dependent employment","A","Annual","2005","2005","HOUR","Hours","0","Units",,,1411.15002441406,,
"FRA","France","DE","Dependent employment","A","Annual","2006","2006","HOUR","Hours","0","Units",,,1389.59997558594,,
"FRA","France","DE","Dependent employment","A","Annual","2007","2007","HOUR","Hours","0","Units",,,1406.81994628906,,
"FRA","France","DE","Dependent employment","A","Annual","2008","2008","HOUR","Hours","0","Units",,,1416.05004882812,,
"FRA","France","DE","Dependent employment","A","Annual","2009","2009","HOUR","Hours","0","Units",,,1399.05004882812,,
"FRA","France","DE","Dependent employment","A","Annual","2010","2010","HOUR","Hours","0","Units",,,1404.06005859375,,
"FRA","France","DE","Dependent employment","A","Annual","2011","2011","HOUR","Hours","0","Units",,,1407.39001464844,,
"FRA","France","DE","Dependent employment","A","Annual","2012","2012","HOUR","Hours","0","Units",,,1402.77,,
"FRA","France","DE","Dependent employment","A","Annual","2013","2013","HOUR","Hours","0","Units",,,1388.79,,
"FRA","France","DE","Dependent employment","A","Annual","2014","2014","HOUR","Hours","0","Units",,,1386.79,,
"FRA","France","DE","Dependent employment","A","Annual","2015","2015","HOUR","Hours","0","Units",,,1399,,
"FRA","France","TE","Total employment","A","Annual","2000","2000","HOUR","Hours","0","Units",,,1534.80004882812,,
"FRA","France","TE","Total employment","A","Annual","2001","2001","HOUR","Hours","0","Units",,,1525.98999023438,,
"FRA","France","TE","Total employment","A","Annual","2002","2002","HOUR","Hours","0","Units",,,1487.31994628906,,
"FRA","France","TE","Total employment","A","Annual","2003","2003","HOUR","Hours","0","Units",,,1484.38000488281,,
"FRA","France","TE","Total employment","A","Annual","2004","2004","HOUR","Hours","0","Units",,,1513.2099609375,,
"FRA","France","TE","Total employment","A","Annual","2005","2005","HOUR","Hours","0","Units",,,1507.43994140625,,
"FRA","France","TE","Total employment","A","Annual","2006","2006","HOUR","Hours","0","Units",,,1484,,
"FRA","France","TE","Total employment","A","Annual","2007","2007","HOUR","Hours","0","Units",,,1500.25,,
"FRA","France","TE","Total employment","A","Annual","2008","2008","HOUR","Hours","0","Units",,,1507.17004394531,,
"FRA","France","TE","Total employment","A","Annual","2009","2009","HOUR","Hours","0","Units",,,1489.06994628906,,
"FRA","France","TE","Total employment","A","Annual","2010","2010","HOUR","Hours","0","Units",,,1493.9599609375,,
"FRA","France","TE","Total employment","A","Annual","2011","2011","HOUR","Hours","0","Units",,,1496.33,,
"FRA","France","TE","Total employment","A","Annual","2012","2012","HOUR","Hours","0","Units",,,1490.23,,
"FRA","France","TE","Total employment","A","Annual","2013","2013","HOUR","Hours","0","Units",,,1474.3,,
"FRA","France","TE","Total employment","A","Annual","2014","2014","HOUR","Hours","0","Units",,,1473.45,,
"FRA","France","TE","Total employment","A","Annual","2015","2015","HOUR","Hours","0","Units",,,1482,,
"DEU","Germany","DE","Dependent employment","A","Annual","2000","2000","HOUR","Hours","0","Units",,,1359.5,,
"DEU","Germany","DE","Dependent employment","A","Annual","2001","2001","HOUR","Hours","0","Units",,,1352.7,,
"DEU","Germany","DE","Dependent employment","A","Annual","2002","2002","HOUR","Hours","0","Units",,,1344.8,,
"DEU","Germany","DE","Dependent employment","A","Annual","2003","2003","HOUR","Hours","0","Units",,,1339.1,,
"DEU","Germany","DE","Dependent employment","A","Annual","2004","2004","HOUR","Hours","0","Units",,,1334.6,,
"DEU","Germany","DE","Dependent employment","A","Annual","2005","2005","HOUR","Hours","0","Units",,,1323.6,,
"DEU","Germany","DE","Dependent employment","A","Annual","2006","2006","HOUR","Hours","0","Units",,,1343.7,,
"DEU","Germany","DE","Dependent employment","A","Annual","2007","2007","HOUR","Hours","0","Units",,,1346.4,,
"DEU","Germany","DE","Dependent employment","A","Annual","2008","2008","HOUR","Hours","0","Units",,,1339.6,,
"DEU","Germany","DE","Dependent employment","A","Annual","2009","2009","HOUR","Hours","0","Units",,,1289.2,,
"DEU","Germany","DE","Dependent employment","A","Annual","2010","2010","HOUR","Hours","0","Units",,,1309.7,,
"DEU","Germany","DE","Dependent employment","A","Annual","2011","2011","HOUR","Hours","0","Units",,,1314.8,,
"DEU","Germany","DE","Dependent employment","A","Annual","2012","2012","HOUR","Hours","0","Units",,,1300.9,,
