"COUNTRY","Country","SERIES","Series","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"DEU","Germany","CPNCU","Current prices in NCU","2007","2007","EUR","Euro","0","Units",,,31269,,
"DEU","Germany","CPNCU","Current prices in NCU","2008","2008","EUR","Euro","0","Units",,,31997,,
"DEU","Germany","CPNCU","Current prices in NCU","2009","2009","EUR","Euro","0","Units",,,31992,,
"DEU","Germany","CPNCU","Current prices in NCU","2010","2010","EUR","Euro","0","Units",,,32754,,
"DEU","Germany","CPNCU","Current prices in NCU","2011","2011","EUR","Euro","0","Units",,,34006,,
"DEU","Germany","CPNCU","Current prices in NCU","2012","2012","EUR","Euro","0","Units",,,34916,,
"DEU","Germany","CPNCU","Current prices in NCU","2013","2013","EUR","Euro","0","Units",,,35703,,
"DEU","Germany","CPNCU","Current prices in NCU","2014","2014","EUR","Euro","0","Units",,,36556,,
"DEU","Germany","CPNCU","Current prices in NCU","2015","2015","EUR","Euro","0","Units",,,37613,,
"GRC","Greece","CPNCU","Current prices in NCU","2000","2000","EUR","Euro","0","Units",,,13902,,
"GRC","Greece","CPNCU","Current prices in NCU","2001","2001","EUR","Euro","0","Units",,,14598,,
"GRC","Greece","CPNCU","Current prices in NCU","2002","2002","EUR","Euro","0","Units",,,16275,,
"GRC","Greece","CPNCU","Current prices in NCU","2003","2003","EUR","Euro","0","Units",,,17419,,
"GRC","Greece","CPNCU","Current prices in NCU","2004","2004","EUR","Euro","0","Units",,,18325,,
"GRC","Greece","CPNCU","Current prices in NCU","2005","2005","EUR","Euro","0","Units",,,18805,,
"GRC","Greece","CPNCU","Current prices in NCU","2006","2006","EUR","Euro","0","Units",,,19644,,
"GRC","Greece","CPNCU","Current prices in NCU","2007","2007","EUR","Euro","0","Units",,,20364,,
"GRC","Greece","CPNCU","Current prices in NCU","2008","2008","EUR","Euro","0","Units",,,20917,,
"GRC","Greece","CPNCU","Current prices in NCU","2009","2009","EUR","Euro","0","Units",,,22113,,
"GRC","Greece","CPNCU","Current prices in NCU","2010","2010","EUR","Euro","0","Units",,,21382,,
"GRC","Greece","CPNCU","Current prices in NCU","2011","2011","EUR","Euro","0","Units",,,20440,,
"GRC","Greece","CPNCU","Current prices in NCU","2012","2012","EUR","Euro","0","Units",,,19600,,
"GRC","Greece","CPNCU","Current prices in NCU","2013","2013","EUR","Euro","0","Units",,,18099,,
"GRC","Greece","CPNCU","Current prices in NCU","2014","2014","EUR","Euro","0","Units",,,17716,,
"GRC","Greece","CPNCU","Current prices in NCU","2015","2015","EUR","Euro","0","Units",,,17642,,
"HUN","Hungary","CPNCU","Current prices in NCU","2000","2000","HUF","Forint","0","Units",,,1228823,,
"HUN","Hungary","CPNCU","Current prices in NCU","2001","2001","HUF","Forint","0","Units",,,1441741,,
"HUN","Hungary","CPNCU","Current prices in NCU","2002","2002","HUF","Forint","0","Units",,,1606947,,
"HUN","Hungary","CPNCU","Current prices in NCU","2003","2003","HUF","Forint","0","Units",,,1829196,,
"HUN","Hungary","CPNCU","Current prices in NCU","2004","2004","HUF","Forint","0","Units",,,2019402,,
"HUN","Hungary","CPNCU","Current prices in NCU","2005","2005","HUF","Forint","0","Units",,,2167828,,
"HUN","Hungary","CPNCU","Current prices in NCU","2006","2006","HUF","Forint","0","Units",,,2283324,,
"HUN","Hungary","CPNCU","Current prices in NCU","2007","2007","HUF","Forint","0","Units",,,2404806,,
"HUN","Hungary","CPNCU","Current prices in NCU","2008","2008","HUF","Forint","0","Units",,,2571881,,
"HUN","Hungary","CPNCU","Current prices in NCU","2009","2009","HUF","Forint","0","Units",,,2581592,,
"HUN","Hungary","CPNCU","Current prices in NCU","2010","2010","HUF","Forint","0","Units",,,2660179,,
"HUN","Hungary","CPNCU","Current prices in NCU","2011","2011","HUF","Forint","0","Units",,,2751218,,
"HUN","Hungary","CPNCU","Current prices in NCU","2012","2012","HUF","Forint","0","Units",,,2830649,,
"HUN","Hungary","CPNCU","Current prices in NCU","2013","2013","HUF","Forint","0","Units",,,2888110,,
"HUN","Hungary","CPNCU","Current prices in NCU","2014","2014","HUF","Forint","0","Units",,,2889151,,
"HUN","Hungary","CPNCU","Current prices in NCU","2015","2015","HUF","Forint","0","Units",,,2977799,,
"IRL","Ireland","CPNCU","Current prices in NCU","2000","2000","EUR","Euro","0","Units",,,31354,,
"IRL","Ireland","CPNCU","Current prices in NCU","2001","2001","EUR","Euro","0","Units",,,33707,,
"IRL","Ireland","CPNCU","Current prices in NCU","2002","2002","EUR","Euro","0","Units",,,35518,,
"IRL","Ireland","CPNCU","Current prices in NCU","2003","2003","EUR","Euro","0","Units",,,38021,,
"IRL","Ireland","CPNCU","Current prices in NCU","2004","2004","EUR","Euro","0","Units",,,39976,,
"IRL","Ireland","CPNCU","Current prices in NCU","2005","2005","EUR","Euro","0","Units",,,42213,,
"IRL","Ireland","CPNCU","Current prices in NCU","2006","2006","EUR","Euro","0","Units",,,43861,,
"IRL","Ireland","CPNCU","Current prices in NCU","2007","2007","EUR","Euro","0","Units",,,46406,,
"IRL","Ireland","CPNCU","Current prices in NCU","2008","2008","EUR","Euro","0","Units",,,48490,,
"IRL","Ireland","CPNCU","Current prices in NCU","2009","2009","EUR","Euro","0","Units",,,48835,,
"IRL","Ireland","CPNCU","Current prices in NCU","2010","2010","EUR","Euro","0","Units",,,46917,,
"IRL","Ireland","CPNCU","Current prices in NCU","2011","2011","EUR","Euro","0","Units",,,47426,,
"IRL","Ireland","CPNCU","Current prices in NCU","2012","2012","EUR","Euro","0","Units",,,47429,,
"IRL","Ireland","CPNCU","Current prices in NCU","2013","2013","EUR","Euro","0","Units",,,46664,,
"IRL","Ireland","CPNCU","Current prices in NCU","2014","2014","EUR","Euro","0","Units",,,47012,,
"IRL","Ireland","CPNCU","Current prices in NCU","2015","2015","EUR","Euro","0","Units",,,47366,,
"ITA","Italy","CPNCU","Current prices in NCU","2000","2000","EUR","Euro","0","Units",,,21291,,
"ITA","Italy","CPNCU","Current prices in NCU","2001","2001","EUR","Euro","0","Units",,,21957,,
"ITA","Italy","CPNCU","Current prices in NCU","2002","2002","EUR","Euro","0","Units",,,22442,,
"ITA","Italy","CPNCU","Current prices in NCU","2003","2003","EUR","Euro","0","Units",,,23065,,
"ITA","Italy","CPNCU","Current prices in NCU","2004","2004","EUR","Euro","0","Units",,,24103,,
"ITA","Italy","CPNCU","Current prices in NCU","2005","2005","EUR","Euro","0","Units",,,24897,,
"ITA","Italy","CPNCU","Current prices in NCU","2006","2006","EUR","Euro","0","Units",,,25721,,
"ITA","Italy","CPNCU","Current prices in NCU","2007","2007","EUR","Euro","0","Units",,,26278,,
"ITA","Italy","CPNCU","Current prices in NCU","2008","2008","EUR","Euro","0","Units",,,27124,,
"ITA","Italy","CPNCU","Current prices in NCU","2009","2009","EUR","Euro","0","Units",,,27159,,
"ITA","Italy","CPNCU","Current prices in NCU","2010","2010","EUR","Euro","0","Units",,,27809,,
"ITA","Italy","CPNCU","Current prices in NCU","2011","2011","EUR","Euro","0","Units",,,28171,,
"ITA","Italy","CPNCU","Current prices in NCU","2012","2012","EUR","Euro","0","Units",,,28065,,
"ITA","Italy","CPNCU","Current prices in NCU","2013","2013","EUR","Euro","0","Units",,,28444,,
"ITA","Italy","CPNCU","Current prices in NCU","2014","2014","EUR","Euro","0","Units",,,28647,,
"ITA","Italy","CPNCU","Current prices in NCU","2015","2015","EUR","Euro","0","Units",,,28890,,
"JPN","Japan","CPNCU","Current prices in NCU","2000","2000","JPY","Yen","0","Units",,,4506104,,
"JPN","Japan","CPNCU","Current prices in NCU","2001","2001","JPY","Yen","0","Units",,,4440996,,
"JPN","Japan","CPNCU","Current prices in NCU","2002","2002","JPY","Yen","0","Units",,,4302687,,
"JPN","Japan","CPNCU","Current prices in NCU","2003","2003","JPY","Yen","0","Units",,,4258353,,
"JPN","Japan","CPNCU","Current prices in NCU","2004","2004","JPY","Yen","0","Units",,,4236132,,
"JPN","Japan","CPNCU","Current prices in NCU","2005","2005","JPY","Yen","0","Units",,,4281413,,
"JPN","Japan","CPNCU","Current prices in NCU","2006","2006","JPY","Yen","0","Units",,,4221088,,
"JPN","Japan","CPNCU","Current prices in NCU","2007","2007","JPY","Yen","0","Units",,,4153668,,
"JPN","Japan","CPNCU","Current prices in NCU","2008","2008","JPY","Yen","0","Units",,,4175655,,
"JPN","Japan","CPNCU","Current prices in NCU","2009","2009","JPY","Yen","0","Units",,,4014433,,
"JPN","Japan","CPNCU","Current prices in NCU","2010","2010","JPY","Yen","0","Units",,,4020812,,
"JPN","Japan","CPNCU","Current prices in NCU","2011","2011","JPY","Yen","0","Units",,,4086790,,
"JPN","Japan","CPNCU","Current prices in NCU","2012","2012","JPY","Yen","0","Units",,,4004867,,
"JPN","Japan","CPNCU","Current prices in NCU","2013","2013","JPY","Yen","0","Units",,,4013403,,
"JPN","Japan","CPNCU","Current prices in NCU","2014","2014","JPY","Yen","0","Units",,,4033913,,
"JPN","Japan","CPNCU","Current prices in NCU","2015","2015","JPY","Yen","0","Units",,,4060008,,
"KOR","Korea","CPNCU","Current prices in NCU","2000","2000","KRW","Won","0","Units",,,18715856,,
"KOR","Korea","CPNCU","Current prices in NCU","2001","2001","KRW","Won","0","Units",,,19998824,,
"KOR","Korea","CPNCU","Current prices in NCU","2002","2002","KRW","Won","0","Units",,,21292820,,
"KOR","Korea","CPNCU","Current prices in NCU","2003","2003","KRW","Won","0","Units",,,22782060,,
"KOR","Korea","CPNCU","Current prices in NCU","2004","2004","KRW","Won","0","Units",,,24082504,,
"KOR","Korea","CPNCU","Current prices in NCU","2005","2005","KRW","Won","0","Units",,,25428004,,
"KOR","Korea","CPNCU","Current prices in NCU","2006","2006","KRW","Won","0","Units",,,26238578,,
"KOR","Korea","CPNCU","Current prices in NCU","2007","2007","KRW","Won","0","Units",,,27393540,,
"KOR","Korea","CPNCU","Current prices in NCU","2008","2008","KRW","Won","0","Units",,,28428992,,
"KOR","Korea","CPNCU","Current prices in NCU","2009","2009","KRW","Won","0","Units",,,29111324,,
"KOR","Korea","CPNCU","Current prices in NCU","2010","2010","KRW","Won","0","Units",,,30327188,,
