dir_file_unlists,emd,v_station,votes,ballots,saenuri,minju,people,justice,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,invalid,abstain
03_data/비례대표/13전북/개표상황(투표구별)_전주시덕진구.xlsx,합계,NA,199227,130267,8065,41740,55521,12382,4068,1893,72,99,78,41,29,99,848,399,762,756,69,27,63,117,138,127266,3001,68960
03_data/비례대표/13전북/개표상황(투표구별)_전주시완산구.xlsx,합계,NA,317271,201493,17543,66010,81651,18230,6652,2395,112,159,103,56,63,120,1332,489,1415,755,112,23,87,125,213,197645,3848,115778
03_data/비례대표/13전북/개표상황(투표구별)_정읍시.xlsx,합계,NA,96392,60005,2913,17502,27470,3175,1480,2038,82,51,73,27,33,82,401,172,310,1073,60,42,108,156,163,57411,2594,36387
03_data/비례대표/13전북/개표상황(투표구별)_진안군.xlsx,합계,NA,22616,15613,1246,6016,4994,900,386,350,31,13,21,14,21,23,101,75,187,94,16,20,39,92,49,14688,925,7003
03_data/비례대표/14전남/개표상황(투표구별)_강진군.xlsx,합계,NA,32796,21729,1120,4268,11734,945,375,645,37,16,27,11,29,38,133,62,104,854,21,21,63,63,55,20621,1108,11067
03_data/비례대표/14전남/개표상황(투표구별)_고흥군.xlsx,합계,NA,60690,42209,1825,14998,17739,1184,832,1115,190,38,37,12,28,74,224,109,175,536,30,24,122,135,177,39604,2605,18481
03_data/비례대표/14전남/개표상황(투표구별)_곡성군.xlsx,합계,NA,26827,17523,844,5037,8298,770,418,322,30,20,14,10,11,18,99,53,108,568,19,14,57,37,50,16797,726,9304
03_data/비례대표/14전남/개표상황(투표구별)_광양시.xlsx,합계,NA,119089,74801,5255,24888,31772,3783,1802,1459,117,49,28,27,27,71,367,266,308,2635,57,17,57,71,85,73141,1660,44288
03_data/비례대표/14전남/개표상황(투표구별)_구례군.xlsx,합계,NA,23529,16060,819,4875,7165,752,401,358,27,15,9,7,17,20,68,39,125,571,25,12,30,42,32,15409,651,7469
03_data/비례대표/14전남/개표상황(투표구별)_나주시.xlsx,합계,NA,83933,55189,2349,16916,25761,3019,905,1260,62,35,60,26,48,66,243,151,269,1153,39,41,135,180,135,52853,2336,28744
03_data/비례대표/14전남/개표상황(투표구별)_담양군.xlsx,합계,NA,41133,26182,988,8962,11952,1184,341,592,34,21,27,10,17,34,99,82,150,398,19,22,53,81,78,25144,1038,14951
03_data/비례대표/14전남/개표상황(투표구별)_목포시.xlsx,합계,NA,187566,105067,4847,21219,54254,11799,4250,2201,497,90,61,58,40,89,875,355,427,1228,94,35,86,130,104,102739,2328,82499
03_data/비례대표/14전남/개표상황(투표구별)_무안군.xlsx,합계,NA,65442,44134,2638,12670,17432,3527,3197,839,49,39,17,10,28,67,411,172,136,873,30,24,66,81,95,42401,1733,21308
03_data/비례대표/14전남/개표상황(투표구별)_보성군.xlsx,합계,NA,39346,25491,1687,6956,11831,1021,477,704,49,20,36,13,27,33,156,84,149,688,30,22,73,98,87,24241,1250,13855
